Study_Hours,Attendance,Previous_Marks,Assignment_Score,Sleep_Hours,Extracurricular_Activities,Performance
1.6,81.8,30.7,43.8,7.8,Yes,Low
3.8,96.1,52.9,69.5,6.7,Yes,Average
3.9,75.6,66.2,67.2,6.1,Yes,Average
7.6,76.4,36.2,56.9,7.5,No,Average
6.7,60.4,54.5,54.3,7.9,No,Average
9.0,87.3,32.3,49.9,4.0,Yes,Average
5.2,55.3,35.5,46.1,4.9,Yes,Low
2.1,62.8,57.8,52.2,7.9,Yes,Low
7.4,68.4,39.3,39.2,7.7,Yes,Low
7.8,72.9,69.7,63.0,9.3,Yes,Good
6.1,58.3,78.3,78.6,8.2,No,Average
7.9,51.3,86.0,72.8,9.2,No,Average
5.4,78.6,44.0,67.2,7.9,No,Average
5.7,60.9,41.7,44.6,5.6,Yes,Low
4.8,77.0,37.3,50.1,4.6,Yes,Low
1.2,53.5,74.6,76.0,8.3,No,Average
2.0,71.5,79.5,87.1,7.5,No,Average
1.3,74.3,32.2,55.1,4.3,No,Low
6.7,47.9,95.5,87.3,6.0,Yes,Average
3.8,63.5,33.6,47.7,9.3,No,Low
5.6,52.4,67.9,66.2,6.8,Yes,Average
9.2,48.5,79.6,74.2,6.4,No,Average
3.2,99.4,91.0,90.8,6.5,No,Good
4.7,62.7,80.0,70.7,5.1,No,Average
7.8,89.5,86.1,87.1,6.0,Yes,Good
3.1,59.0,53.8,54.5,6.0,No,Low
1.7,82.5,87.0,83.4,4.3,Yes,Average
3.6,86.8,35.6,54.4,8.2,Yes,Low
2.5,77.8,92.6,92.9,6.3,Yes,Good
9.4,70.9,68.3,69.5,8.5,No,Good
8.3,67.7,87.2,88.7,8.7,Yes,Good
6.7,64.2,61.7,56.7,5.2,Yes,Average
8.8,96.1,75.1,80.4,7.6,No,Good
8.2,90.7,66.8,70.4,6.6,Yes,Average
2.7,98.1,81.2,76.9,8.8,No,Good
9.0,51.8,35.7,40.1,5.2,Yes,Low
5.9,85.2,34.2,48.9,7.7,Yes,Average
8.3,96.6,47.3,69.7,7.3,No,Average
9.1,55.0,41.2,48.5,5.6,Yes,Average
3.9,48.7,91.0,73.2,4.8,Yes,Average
2.0,85.8,45.3,66.7,7.6,No,Average
3.1,76.6,98.3,97.9,8.1,No,Good
4.8,91.3,53.6,67.8,5.7,No,Average
8.4,52.7,42.7,44.6,7.5,Yes,Average
8.7,88.7,85.3,81.5,6.2,Yes,Good
1.1,56.1,76.1,68.2,7.9,No,Low
5.6,54.0,64.9,67.1,5.1,No,Low
4.8,54.0,68.9,73.9,8.9,No,Average
3.0,89.8,80.3,90.9,5.6,No,Good
2.1,81.6,46.0,54.2,6.0,No,Low
4.0,73.8,99.7,86.3,4.3,Yes,Good
9.5,64.7,98.2,88.9,4.6,Yes,Good
3.9,93.2,75.5,72.0,6.8,No,Average
5.7,66.6,44.0,52.4,5.5,Yes,Low
7.3,89.9,77.6,80.6,8.6,Yes,Good
4.3,69.2,35.1,43.0,4.1,No,Low
9.7,65.7,32.1,34.2,6.1,No,Low
9.7,70.4,48.0,57.3,5.9,Yes,Average
3.3,61.6,62.4,59.5,4.1,Yes,Average
5.5,86.1,90.8,83.5,4.7,Yes,Good
3.7,72.6,80.9,64.0,6.3,No,Average
3.6,57.8,82.0,74.6,6.7,No,Average
1.3,94.5,59.8,79.1,6.2,Yes,Average
6.5,66.1,54.2,66.1,6.9,Yes,Average
5.5,74.9,56.0,59.4,7.3,No,Average
1.5,94.9,99.1,94.8,4.1,Yes,Good
3.5,79.3,32.8,49.1,6.6,No,Low
9.2,51.4,90.7,73.9,9.3,No,Average
3.2,96.7,70.5,79.9,6.9,Yes,Good
2.3,79.5,60.7,70.2,7.7,No,Low
5.4,63.4,80.8,81.7,5.7,Yes,Average
9.9,52.7,64.1,60.2,8.3,Yes,Average
3.2,88.7,91.1,89.4,8.3,No,Average
7.0,79.1,93.0,84.4,6.9,Yes,Good
7.9,74.3,59.5,59.8,9.4,No,Average
3.1,94.2,49.4,61.7,4.7,No,Average
7.6,88.4,71.5,78.4,4.1,Yes,Average
4.3,53.3,93.9,86.3,8.2,Yes,Good
6.7,62.1,44.7,45.9,8.4,Yes,Average
6.7,58.7,73.6,76.6,4.7,Yes,Average
5.8,85.9,74.2,76.4,5.5,Yes,Average
1.8,46.8,81.3,70.8,4.1,Yes,Average
8.5,76.3,39.2,46.6,5.6,Yes,Average
3.9,86.9,80.1,70.0,8.3,No,Average
2.7,93.2,93.6,97.9,6.8,No,Good
1.4,63.8,42.6,52.6,5.9,No,Low
6.3,90.2,46.6,58.3,6.0,Yes,Average
7.1,51.1,98.0,84.3,4.0,Yes,Good
1.1,91.6,42.7,59.9,5.6,No,Low
5.6,52.0,89.8,70.6,7.6,Yes,Average
3.0,66.9,64.5,62.6,9.4,Yes,Average
6.8,88.9,47.3,63.8,8.7,No,Average
2.6,53.2,91.0,73.4,4.1,No,Average
7.2,57.6,61.2,61.6,8.9,No,Average
4.5,84.7,66.0,64.8,8.3,Yes,Average
9.4,84.6,55.1,66.3,8.3,No,Average
2.2,80.3,71.5,74.0,6.5,No,Average
4.1,83.2,41.4,45.9,6.2,No,Low
2.0,74.8,57.4,68.4,5.7,No,Average
9.3,58.8,97.9,82.5,4.4,No,Good
8.9,64.0,48.1,48.8,5.3,No,Low
3.3,55.0,76.0,70.7,5.4,Yes,Average
6.9,95.0,52.8,71.2,6.7,No,Average
8.4,77.1,84.1,76.9,8.1,No,Good
6.0,67.0,39.2,47.8,6.6,No,Low
5.8,70.4,97.9,91.8,4.3,Yes,Good
3.2,97.1,61.8,75.9,9.3,Yes,Average
1.8,53.4,46.5,49.5,9.2,No,Low
9.1,77.2,35.1,45.9,8.3,No,Average
9.1,72.8,41.9,47.0,9.5,No,Average
6.7,78.6,66.4,70.5,7.0,No,Average
4.1,46.0,53.6,46.0,9.3,No,Low
4.1,93.0,88.0,74.9,4.4,No,Average
7.5,96.3,60.2,73.2,6.0,No,Good
9.1,76.1,47.4,60.5,5.2,No,Average
9.0,83.3,73.2,64.4,5.1,No,Average
8.0,95.7,79.5,79.3,4.8,Yes,Good
6.8,83.9,41.7,57.5,7.4,Yes,Average
1.8,53.4,41.7,55.5,8.3,No,Low
2.5,76.7,32.6,45.9,7.2,Yes,Low
9.1,78.4,81.5,76.9,4.8,Yes,Good
6.5,68.3,76.5,73.1,8.5,Yes,Good
1.1,85.5,63.2,76.8,7.5,Yes,Average
1.9,96.4,89.1,88.1,6.1,Yes,Good
7.0,95.9,86.4,85.3,7.7,Yes,Good
1.0,69.8,71.0,68.2,5.4,No,Low
2.4,51.2,90.8,74.2,5.9,No,Average
5.9,99.2,44.4,61.5,9.0,Yes,Average
7.2,91.1,37.8,61.9,5.6,Yes,Average
6.9,51.9,48.9,51.4,6.6,No,Low
3.0,95.6,34.0,51.2,8.9,Yes,Average
7.4,92.8,67.2,73.4,7.9,No,Good
3.1,73.5,95.6,81.2,4.3,No,Average
3.9,77.5,32.8,50.6,4.8,No,Low
7.7,66.9,38.5,46.6,4.0,Yes,Average
6.8,48.0,61.7,56.7,7.5,No,Low
8.6,63.4,95.4,100.0,6.5,Yes,Good
6.9,89.2,52.1,64.7,4.7,No,Average
6.1,45.3,65.5,55.7,9.3,No,Low
1.8,63.3,32.9,39.9,6.9,Yes,Low
4.3,66.9,40.4,54.1,5.3,Yes,Low
3.4,74.6,99.1,92.3,6.8,Yes,Good
3.2,95.6,97.6,89.8,7.7,No,Good
9.8,64.0,30.3,45.0,4.4,Yes,Average
4.5,64.1,96.6,83.5,5.5,No,Good
9.0,85.6,74.7,87.3,8.4,Yes,Good
6.7,69.9,90.8,89.9,6.5,No,Good
8.2,57.4,61.8,58.2,7.0,No,Average
5.5,69.9,66.1,73.6,6.4,No,Average
6.2,52.7,64.2,61.1,4.2,No,Low
5.4,54.7,76.7,74.4,4.9,Yes,Average
2.8,72.4,39.8,52.0,6.5,Yes,Low
7.5,68.0,32.1,38.6,5.2,No,Low
3.5,95.3,51.6,61.5,4.3,Yes,Average
1.2,64.9,79.3,80.1,8.6,Yes,Average
6.8,76.9,44.1,52.3,9.4,Yes,Average
2.6,79.8,77.1,75.9,8.4,Yes,Average
9.5,45.7,97.9,77.5,8.7,Yes,Good
9.6,81.5,36.6,52.2,5.3,No,Low
9.2,54.8,77.1,80.7,9.3,Yes,Good
4.3,97.9,61.1,66.8,5.1,No,Average
1.1,53.2,90.8,79.6,9.2,Yes,Average
9.4,67.8,42.4,57.1,9.5,No,Average
4.9,49.7,78.5,69.5,7.9,Yes,Average
9.7,99.8,88.7,94.3,9.4,No,Good
9.7,72.6,96.1,83.7,7.1,No,Good
8.7,77.7,77.8,79.9,5.4,Yes,Good
3.7,48.7,64.8,59.0,6.4,No,Low
4.5,86.2,73.2,82.0,7.3,No,Average
8.7,56.5,90.8,86.4,4.4,No,Average
3.9,94.4,69.9,90.2,7.4,No,Good
2.5,56.3,32.1,42.3,9.4,Yes,Low
6.0,55.5,95.2,84.9,5.0,No,Good
9.4,47.0,78.3,69.9,8.4,Yes,Good
7.3,71.0,77.4,73.7,9.0,Yes,Average
6.1,76.1,45.1,56.1,9.2,No,Average
1.9,48.6,76.1,66.4,9.3,Yes,Average
6.5,87.7,57.6,67.5,6.9,No,Average
9.9,69.9,75.6,80.5,9.4,No,Good
2.3,73.8,37.5,43.4,8.2,No,Low
5.7,69.2,76.0,79.7,4.9,No,Average
8.9,67.0,100.0,96.7,6.6,Yes,Good
7.7,75.8,33.4,45.5,8.0,Yes,Average
7.3,53.5,98.4,74.3,5.4,Yes,Average
7.3,55.0,58.5,54.4,7.5,Yes,Average
4.2,92.4,91.0,97.9,7.7,Yes,Good
3.6,97.0,84.8,88.3,4.9,Yes,Good
8.3,65.5,69.7,63.4,7.1,No,Average
8.3,59.9,81.7,72.6,8.2,No,Average
8.8,80.4,91.5,92.4,6.7,Yes,Good
9.2,67.5,58.3,63.8,4.1,No,Average
5.6,46.4,52.9,49.8,4.0,Yes,Low
5.5,53.6,76.7,67.9,6.0,Yes,Average
8.2,84.4,86.5,83.9,9.1,No,Good
6.8,81.2,83.4,78.1,5.3,No,Average
7.3,46.5,85.8,82.1,7.5,No,Average
8.2,57.2,60.5,57.9,5.2,Yes,Average
9.0,57.7,87.2,84.4,5.8,No,Average
4.0,82.0,38.4,59.1,8.7,No,Low
4.4,46.1,68.1,66.5,8.0,No,Average
1.8,50.7,30.4,34.3,4.5,No,Low
6.2,89.0,52.7,65.6,6.4,No,Average
1.3,54.8,55.7,55.3,4.2,No,Low
5.2,80.9,57.7,60.1,6.6,No,Average
5.9,58.1,78.7,74.1,7.6,No,Good
3.6,50.5,57.2,49.3,4.7,No,Low
6.3,58.4,61.4,66.4,5.6,Yes,Average
1.3,84.7,46.6,55.7,6.2,No,Low
1.3,92.1,56.1,67.9,9.1,Yes,Average
8.4,90.7,45.9,60.8,9.5,Yes,Average
4.2,66.8,35.1,43.3,4.2,No,Low
2.1,81.7,72.2,78.0,8.2,No,Average
5.7,56.3,76.8,68.3,6.0,No,Average
7.9,61.1,73.4,74.1,6.2,Yes,Good
2.9,94.3,62.4,65.2,8.1,No,Average
6.6,45.7,56.6,54.0,9.1,Yes,Average
1.8,49.7,90.4,87.9,9.2,No,Average
1.5,56.4,66.3,58.3,7.2,No,Low
5.8,46.5,63.5,55.0,6.0,No,Low
5.9,55.0,31.8,41.3,8.3,No,Low
6.7,77.1,53.9,61.8,5.4,No,Average
7.5,68.2,56.6,61.8,7.1,No,Average
9.8,94.1,57.9,71.2,6.0,Yes,Good
5.6,90.0,70.6,79.6,7.6,Yes,Good
3.9,63.8,67.4,71.9,5.3,No,Average
8.2,59.3,72.6,70.7,5.1,No,Average
3.4,65.9,83.5,77.0,9.1,Yes,Good
5.0,77.5,86.9,87.4,4.6,No,Good
1.7,59.7,80.3,83.6,6.8,Yes,Average
1.2,79.3,96.9,91.0,5.2,No,Average
9.7,67.5,31.3,37.3,4.2,No,Low
8.5,75.4,43.7,58.7,4.2,No,Average
7.3,69.0,30.5,41.4,5.0,No,Low
4.7,61.2,75.3,60.2,8.8,Yes,Average
2.6,97.2,92.9,98.4,5.6,Yes,Good
2.4,87.0,47.0,56.3,9.2,No,Average
3.3,52.7,94.9,81.8,7.2,No,Average
5.9,92.8,34.2,53.4,6.4,Yes,Average
7.4,71.8,95.4,89.3,7.2,No,Good
6.9,94.2,54.6,70.0,6.8,Yes,Good
3.5,89.0,37.1,50.5,8.2,No,Low
9.6,68.4,64.0,67.9,5.6,No,Average
7.6,46.2,48.0,46.2,5.9,Yes,Low
6.0,59.8,49.9,56.6,8.9,Yes,Low
6.5,74.8,51.5,61.6,9.2,No,Average
4.8,79.8,86.2,79.6,8.9,No,Average
3.2,59.2,67.7,70.6,6.3,No,Average
4.2,52.7,51.8,49.4,8.3,No,Low
7.8,90.9,72.7,82.2,6.6,No,Good
1.1,99.1,80.1,87.6,6.7,No,Average
2.0,73.9,49.1,65.7,5.1,No,Low
1.4,54.4,58.9,56.4,7.3,Yes,Low
1.4,60.0,38.5,43.2,5.0,Yes,Low
8.7,46.0,42.7,43.6,5.8,Yes,Average
7.3,95.3,77.7,81.5,8.7,No,Average
5.3,51.5,42.7,49.3,5.1,Yes,Low
1.9,76.7,66.8,61.7,4.4,No,Average
5.4,60.1,79.6,68.5,4.4,No,Average
5.3,75.5,37.5,43.6,9.2,No,Low
2.6,80.8,69.7,77.8,6.8,Yes,Average
4.9,90.6,48.0,69.3,6.3,Yes,Average
4.6,56.4,97.4,84.6,8.5,Yes,Average
6.5,45.6,63.8,57.5,8.6,Yes,Average
6.7,52.5,86.4,76.6,5.8,Yes,Average
1.4,94.5,68.5,82.1,7.8,No,Average
4.4,93.1,33.0,46.4,8.2,No,Low
6.6,77.9,74.3,76.6,7.6,No,Average
5.5,78.0,96.6,95.9,4.8,No,Good
8.7,81.6,72.1,77.5,8.8,Yes,Good
6.9,54.6,87.3,78.4,7.0,No,Average
2.5,95.3,91.9,97.9,5.6,No,Good
1.6,68.0,46.0,39.1,6.3,Yes,Low
6.8,66.1,44.8,54.6,4.2,No,Low
1.2,73.5,72.8,69.7,4.7,Yes,Average
6.3,47.6,58.8,46.3,8.2,No,Low
9.5,54.1,88.8,80.9,4.0,No,Good
6.2,85.6,93.0,97.6,6.3,Yes,Good
4.5,49.6,54.7,52.5,6.9,No,Low
6.8,78.2,46.6,60.8,4.3,No,Average
5.1,58.5,84.6,84.8,9.4,No,Average
5.9,66.4,49.2,60.9,5.2,Yes,Low
9.5,60.9,87.6,87.8,5.7,No,Good
4.5,64.6,59.7,64.9,5.7,Yes,Average
9.7,84.5,76.7,79.4,5.3,Yes,Good
9.1,61.3,36.7,36.1,4.0,Yes,Low
2.8,76.2,73.7,73.2,8.0,No,Average
1.6,71.2,61.6,60.3,9.3,No,Average
1.9,81.5,71.1,85.1,5.2,No,Average
1.2,96.5,41.8,57.3,7.6,No,Low
1.8,85.3,81.6,83.3,8.1,Yes,Average
7.1,56.8,90.4,83.1,8.7,Yes,Good
1.6,46.7,45.2,45.9,6.3,Yes,Low
3.9,59.4,36.7,52.0,5.7,Yes,Low
8.6,77.7,31.7,42.4,5.8,Yes,Average
1.2,47.8,74.9,67.7,7.9,Yes,Low
8.3,72.3,72.5,68.7,8.5,Yes,Good
3.5,77.8,68.3,64.5,5.0,Yes,Average
2.1,63.4,46.2,48.3,6.0,Yes,Low
7.3,87.4,57.4,66.2,9.0,Yes,Average
6.7,50.9,71.6,63.2,8.4,No,Average
8.9,49.1,64.8,56.6,9.4,No,Average
7.6,85.1,99.1,87.9,8.1,No,Good
8.2,72.3,39.6,49.0,6.2,Yes,Average
3.5,82.9,78.7,72.4,7.2,Yes,Average
2.6,68.9,58.3,65.3,7.6,No,Low
7.8,58.6,60.0,60.0,4.4,Yes,Average
8.3,90.1,80.2,75.9,7.0,Yes,Good
9.9,89.0,78.5,80.1,7.9,Yes,Good
4.7,83.2,99.4,90.8,4.9,Yes,Good
4.3,60.0,39.0,46.9,8.3,Yes,Low
8.0,77.5,37.3,56.1,7.2,Yes,Average
4.1,64.9,80.7,66.6,9.2,No,Average
9.4,50.0,70.5,64.9,4.2,Yes,Average
8.7,95.5,49.2,62.3,5.5,Yes,Average
4.9,52.5,35.6,44.0,7.3,No,Low
7.8,97.3,36.0,55.5,5.6,Yes,Average
7.8,69.5,92.6,81.9,7.9,Yes,Good
1.9,55.2,43.4,45.3,8.2,No,Low
9.1,74.8,52.6,55.3,4.6,Yes,Average
5.5,93.0,45.9,65.4,6.8,Yes,Average
8.4,85.3,54.8,64.1,6.8,Yes,Average
3.9,89.4,34.9,60.8,6.0,Yes,Average
9.1,81.2,66.3,70.5,9.1,No,Average
4.5,83.1,34.7,45.7,8.6,No,Low
1.1,91.7,86.0,80.1,7.8,Yes,Average
9.1,58.7,46.4,41.1,7.9,No,Low
1.8,71.9,67.8,61.1,6.5,No,Low
3.9,57.2,91.6,82.6,9.1,Yes,Average
9.6,99.3,75.6,85.3,7.8,No,Good
9.6,96.9,67.3,68.3,8.0,Yes,Good
6.2,47.2,52.7,55.5,8.7,Yes,Average
6.7,83.8,53.3,60.0,5.5,Yes,Average
5.0,95.9,76.9,83.3,8.4,Yes,Good
3.6,54.9,99.6,94.3,5.1,Yes,Good
4.0,76.2,76.3,80.8,5.9,No,Average
7.1,95.4,69.0,75.6,5.8,Yes,Good
7.8,46.9,81.1,66.4,9.4,Yes,Good
8.1,83.4,62.6,58.1,8.7,Yes,Average
8.1,61.4,34.2,38.8,7.9,No,Low
1.8,95.8,69.4,76.3,8.0,No,Average
5.4,98.4,97.0,92.5,7.1,No,Good
1.5,96.9,42.3,58.0,9.2,No,Average
5.9,71.1,78.3,76.5,6.7,No,Average
5.0,92.4,44.1,57.5,6.1,Yes,Average
9.0,91.5,67.5,71.4,4.9,No,Good
4.2,62.6,36.8,45.4,8.3,No,Low
2.1,90.6,61.5,72.4,8.0,No,Average
2.3,47.0,82.9,66.7,6.1,No,Average
7.9,77.8,54.3,68.4,4.1,Yes,Average
6.6,57.7,76.5,70.4,8.6,Yes,Average
1.9,51.6,85.7,75.6,4.1,Yes,Average
1.8,49.2,94.9,84.7,7.9,No,Average
7.3,83.3,46.4,58.6,9.3,Yes,Average
1.7,63.7,58.0,64.5,6.4,Yes,Low
8.4,84.9,40.7,55.4,5.3,No,Average
7.4,48.6,99.5,81.2,7.9,Yes,Good
1.7,62.3,94.9,86.9,8.5,No,Average
1.8,74.7,67.8,64.2,7.0,Yes,Average
9.9,88.5,88.9,89.3,9.3,Yes,Good
4.4,62.5,66.5,65.1,4.3,Yes,Average
4.3,79.4,73.7,74.4,6.8,No,Average
8.3,93.7,36.2,52.8,8.0,Yes,Average
9.5,78.9,82.9,72.3,8.7,Yes,Good
9.9,57.8,38.9,41.8,5.0,No,Low
7.8,46.3,87.8,75.8,8.4,Yes,Good
4.4,92.9,84.7,88.0,7.0,No,Good
1.8,46.2,79.6,64.4,6.2,No,Low
8.0,93.1,32.5,57.0,4.7,Yes,Average
6.0,74.1,51.2,53.7,8.8,No,Low
4.8,96.6,48.4,67.7,4.9,Yes,Average
9.2,88.9,55.2,67.4,5.7,No,Average
2.0,99.9,36.1,52.0,5.6,Yes,Low
5.4,64.3,95.6,95.1,8.8,No,Good
1.1,87.2,68.8,68.4,7.7,Yes,Average
5.2,67.1,51.4,60.7,8.4,No,Average
1.5,71.4,57.8,66.9,5.4,Yes,Average
2.1,79.5,61.3,63.4,7.4,Yes,Average
2.1,93.1,72.0,85.3,7.1,Yes,Average
6.8,99.1,66.1,74.7,8.6,Yes,Good
7.7,87.3,94.4,93.7,9.0,No,Good
6.3,68.0,64.8,67.1,4.1,Yes,Average
9.7,68.2,99.5,89.4,7.7,No,Good
4.4,85.6,89.6,92.5,4.3,No,Good
3.6,58.1,44.6,52.6,7.0,No,Low
8.8,51.1,95.1,73.2,5.6,Yes,Good
3.0,64.5,38.1,52.5,5.7,Yes,Low
9.7,60.8,87.2,71.0,5.9,No,Good
1.1,61.3,56.6,63.2,7.4,Yes,Low
9.7,57.8,91.5,87.0,5.8,Yes,Good
1.4,47.3,90.8,72.3,8.0,No,Average
9.0,46.0,86.4,72.2,6.2,No,Good
5.7,99.3,85.3,84.0,4.4,No,Good
9.9,68.5,51.3,55.4,8.3,Yes,Average
1.7,66.1,35.7,43.3,5.6,No,Low
6.0,82.4,58.2,69.4,6.4,Yes,Average
9.7,57.0,42.1,53.1,7.8,Yes,Average
5.7,97.2,78.6,91.2,5.8,No,Good
6.7,88.2,54.2,61.6,4.3,Yes,Good
7.3,49.9,98.3,82.7,6.1,Yes,Good
5.1,68.0,74.9,64.4,9.2,Yes,Average
6.6,93.4,87.6,85.3,7.5,No,Good
6.3,97.0,39.3,61.4,7.7,No,Average
9.1,70.7,90.3,92.5,7.5,No,Good
1.4,78.7,94.6,83.7,5.1,No,Average
3.5,54.2,64.1,58.2,6.3,Yes,Low
9.6,99.5,72.4,80.4,8.1,Yes,Good
9.0,57.7,83.5,77.2,4.6,Yes,Good
5.1,96.9,42.2,54.6,5.5,Yes,Average
6.6,80.7,65.2,72.0,5.5,Yes,Average
3.5,78.4,57.9,61.7,6.4,No,Average
2.7,73.2,40.2,50.0,9.4,Yes,Low
5.2,57.7,55.7,59.0,4.4,Yes,Low
4.2,54.7,34.8,40.8,6.9,Yes,Low
6.3,57.1,31.8,37.2,5.0,Yes,Low
1.7,55.3,39.5,43.7,9.3,No,Low
9.8,87.9,97.4,94.1,4.6,Yes,Good
9.9,64.3,68.5,65.4,6.2,Yes,Average
7.3,48.2,97.6,81.5,8.1,No,Average
5.8,98.3,60.3,79.7,7.9,Yes,Good
3.8,93.6,51.8,67.1,6.3,Yes,Average
8.3,96.0,65.4,73.1,5.9,Yes,Good
7.2,99.7,60.8,76.0,6.2,No,Good
2.5,54.6,37.4,40.9,5.5,No,Low
9.2,66.8,74.9,78.3,5.1,No,Good
8.4,86.7,45.1,59.4,6.7,Yes,Good
9.5,83.3,73.4,75.8,5.5,No,Good
7.5,53.5,75.5,71.1,5.6,Yes,Average
6.5,89.9,40.6,47.5,7.6,Yes,Average
4.8,57.3,34.3,35.6,9.3,Yes,Low
9.4,57.3,84.7,70.5,7.3,Yes,Good
8.8,74.5,62.2,66.6,4.4,No,Average
1.4,77.6,34.1,55.8,4.4,No,Low
1.2,76.9,99.6,100.0,9.2,No,Good
4.4,50.0,34.0,42.0,5.6,No,Low
8.3,93.3,78.7,85.6,4.5,No,Good
9.9,59.6,98.9,78.1,7.3,Yes,Good
2.4,52.1,46.7,45.6,7.4,Yes,Low
6.3,93.9,40.0,52.2,7.6,No,Average
4.4,97.6,38.5,53.1,5.5,Yes,Low
9.7,92.4,51.2,62.7,4.1,No,Average
8.6,89.5,37.1,50.5,9.3,Yes,Average
8.5,81.0,78.5,69.4,5.4,Yes,Good
5.2,75.3,34.4,50.4,7.7,Yes,Average
4.7,49.8,65.7,55.6,7.9,Yes,Average
3.5,67.5,99.8,91.3,7.4,Yes,Average
1.5,65.5,87.0,90.9,5.7,No,Average
8.8,59.3,73.1,64.4,5.5,Yes,Average
8.3,84.8,51.4,48.8,7.3,No,Average
10.0,72.3,73.7,71.8,8.8,Yes,Good
10.0,49.5,66.9,67.2,9.2,Yes,Good
6.0,57.1,59.8,68.8,4.6,Yes,Average
